"","Treatments","survivals","adultsNO","Date","DayCount","Adults","Mortality","mortality (%)"
"109","B.bassiana",5,1,2020-09-10,2,14.2857142857143,2,0.285714285714286
"110","B.bassiana",5,0,2020-09-10,2,0,2,0.285714285714286
"111","B.bassiana",6,0,2020-09-10,2,0,1,0.142857142857143
"112","B.bassiana",5,0,2020-09-10,2,0,2,0.285714285714286
"113","B.bassiana",7,0,2020-09-10,2,0,0,0
"114","B.bassiana",4,0,2020-09-10,2,0,3,0.428571428571429
"115","B.bassiana",5,0,2020-09-10,2,0,2,0.285714285714286
"116","B.bassiana",2,0,2020-09-10,2,0,5,0.714285714285714
"117","B.bassiana",6,0,2020-09-10,2,0,1,0.142857142857143
"118","B.bassiana",5,0,2020-09-10,2,0,2,0.285714285714286
"119","B.bassiana",5,0,2020-09-10,2,0,2,0.285714285714286
"120","B.bassiana",6,0,2020-09-10,2,0,1,0.142857142857143
"121","BotaniGard",6,0,2020-09-10,2,0,1,0.142857142857143
"122","BotaniGard",6,4,2020-09-10,2,57.1428571428571,1,0.142857142857143
"123","BotaniGard",5,0,2020-09-10,2,0,2,0.285714285714286
"124","BotaniGard",6,0,2020-09-10,2,0,1,0.142857142857143
"125","BotaniGard",6,1,2020-09-10,2,14.2857142857143,1,0.142857142857143
"126","BotaniGard",6,0,2020-09-10,2,0,1,0.142857142857143
"127","BotaniGard",6,2,2020-09-10,2,28.5714285714286,1,0.142857142857143
"128","BotaniGard",6,0,2020-09-10,2,0,1,0.142857142857143
"129","BotaniGard",4,2,2020-09-10,2,28.5714285714286,3,0.428571428571429
"130","BotaniGard",7,2,2020-09-10,2,28.5714285714286,0,0
"131","BotaniGard",6,0,2020-09-10,2,0,1,0.142857142857143
"132","BotaniGard",7,4,2020-09-10,2,57.1428571428571,0,0
"133","BotaniGard",6,1,2020-09-10,2,14.2857142857143,1,0.142857142857143
"134","BotaniGard",5,0,2020-09-10,2,0,2,0.285714285714286
"135","BotaniGard",5,1,2020-09-10,2,14.2857142857143,2,0.285714285714286
"136","C1",6,0,2020-09-10,2,0,1,0.142857142857143
"137","C1",5,0,2020-09-10,2,0,2,0.285714285714286
"138","C1",7,1,2020-09-10,2,14.2857142857143,0,0
"139","C1",7,0,2020-09-10,2,0,0,0
"140","C1",6,2,2020-09-10,2,28.5714285714286,1,0.142857142857143
"141","C1",6,2,2020-09-10,2,28.5714285714286,1,0.142857142857143
"142","C1",7,3,2020-09-10,2,42.8571428571429,0,0
"143","C1",7,1,2020-09-10,2,14.2857142857143,0,0
"144","C1",7,1,2020-09-10,2,14.2857142857143,0,0
"145","C1",5,0,2020-09-10,2,0,2,0.285714285714286
"146","C1",7,1,2020-09-10,2,14.2857142857143,0,0
"147","C1",7,0,2020-09-10,2,0,0,0
"148","C1",7,1,2020-09-10,2,14.2857142857143,0,0
"149","C1",7,2,2020-09-10,2,28.5714285714286,0,0
"150","C1",7,0,2020-09-10,2,0,0,0
"151","C2",6,2,2020-09-10,2,28.5714285714286,1,0.142857142857143
"152","C2",7,1,2020-09-10,2,14.2857142857143,0,0
"153","C2",7,2,2020-09-10,2,28.5714285714286,0,0
"154","C2",5,2,2020-09-10,2,28.5714285714286,2,0.285714285714286
"155","C2",5,0,2020-09-10,2,0,2,0.285714285714286
"156","C2",7,1,2020-09-10,2,14.2857142857143,0,0
"157","C2",7,1,2020-09-10,2,14.2857142857143,0,0
"158","C2",6,2,2020-09-10,2,28.5714285714286,1,0.142857142857143
"159","C2",7,2,2020-09-10,2,28.5714285714286,0,0
"160","C2",7,0,2020-09-10,2,0,0,0
"161","C2",7,2,2020-09-10,2,28.5714285714286,0,0
"162","C2",5,3,2020-09-10,2,42.8571428571429,2,0.285714285714286
"163","C2",6,1,2020-09-10,2,14.2857142857143,1,0.142857142857143
"164","C2",7,3,2020-09-10,2,42.8571428571429,0,0
"165","C2",5,0,2020-09-10,2,0,2,0.285714285714286
"166","C3",7,1,2020-09-10,2,14.2857142857143,0,0
"167","C3",6,1,2020-09-10,2,14.2857142857143,1,0.142857142857143
"168","C3",6,3,2020-09-10,2,42.8571428571429,1,0.142857142857143
"169","C3",6,2,2020-09-10,2,28.5714285714286,1,0.142857142857143
"170","C3",7,2,2020-09-10,2,28.5714285714286,0,0
"171","C3",7,1,2020-09-10,2,14.2857142857143,0,0
"172","C3",5,2,2020-09-10,2,28.5714285714286,2,0.285714285714286
"173","C3",6,2,2020-09-10,2,28.5714285714286,1,0.142857142857143
"174","C3",7,1,2020-09-10,2,14.2857142857143,0,0
"175","C3",6,1,2020-09-10,2,14.2857142857143,1,0.142857142857143
"176","C3",7,1,2020-09-10,2,14.2857142857143,0,0
"177","C3",7,4,2020-09-10,2,57.1428571428571,0,0
"178","C3",7,1,2020-09-10,2,14.2857142857143,0,0
"179","C3",7,3,2020-09-10,2,42.8571428571429,0,0
"180","C3",5,0,2020-09-10,2,0,2,0.285714285714286
"181","MycoMillet15",6,1,2020-09-10,2,14.2857142857143,1,0.142857142857143
